name	url
finngen_R11_I9_ANGINA	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_ANGINA.FINEMAP.snp.bgz
finngen_R11_K11_HERING	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_HERING.FINEMAP.snp.bgz
finngen_R11_J10_LOWCHRON	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_LOWCHRON.FINEMAP.snp.bgz
finngen_R11_L12_ATOPIC	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_ATOPIC.FINEMAP.snp.bgz
finngen_R11_C3_BREAST_EXALLC	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_EXALLC.FINEMAP.snp.bgz
finngen_R11_J10_CHRONTONSADEN	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_CHRONTONSADEN.FINEMAP.snp.bgz
finngen_R11_K11_KELAIBD	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_KELAIBD.FINEMAP.snp.bgz
finngen_R11_K11_DIVERTIC	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_DIVERTIC.FINEMAP.snp.bgz
finngen_R11_K11_IBD_STRICT	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_IBD_STRICT.FINEMAP.snp.bgz
finngen_R11_I9_VTE	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_VTE.FINEMAP.snp.bgz
finngen_R11_I9_CABG	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CABG.FINEMAP.snp.bgz
finngen_R11_AUTOIMMUNE_NONTHYROID_STRICT	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID_STRICT.FINEMAP.snp.bgz
finngen_R11_AUTOIMMUNE_NONTHYROID	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE_NONTHYROID.FINEMAP.snp.bgz
finngen_R11_E4_LIPOPROT	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LIPOPROT.FINEMAP.snp.bgz
finngen_R11_C3_CANCER_EXALLC	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_CANCER_EXALLC.FINEMAP.snp.bgz
finngen_R11_M13_ARTHROSIS_KNEE_PRIM_KNEESURG	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS_KNEE_PRIM_KNEESURG.FINEMAP.snp.bgz
finngen_R11_J10_ASTHMA_EXMORE	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_ASTHMA_EXMORE.FINEMAP.snp.bgz
finngen_R11_M13_ARTHTROSIS_COX	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX.FINEMAP.snp.bgz
finngen_R11_J10_ASTHMA_MAIN_EXMORE	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_ASTHMA_MAIN_EXMORE.FINEMAP.snp.bgz
finngen_R11_I9_CVD_HARD	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CVD_HARD.FINEMAP.snp.bgz
finngen_R11_E4_NONTOXIC_THYROID	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_NONTOXIC_THYROID.FINEMAP.snp.bgz
finngen_R11_H7_GLAUCOMA_POAG	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_GLAUCOMA_POAG.FINEMAP.snp.bgz
finngen_R11_FG_OTHHEART	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_FG_OTHHEART.FINEMAP.snp.bgz
finngen_R11_I9_HEARTFAIL_AND_ANTIHYPERT	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_HEARTFAIL_AND_ANTIHYPERT.FINEMAP.snp.bgz
finngen_R11_E4_OBESITY	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_OBESITY.FINEMAP.snp.bgz
finngen_R11_L12_DERMATITISECZEMA	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_DERMATITISECZEMA.FINEMAP.snp.bgz
finngen_R11_K11_CHOLECYSTECTOMY	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_CHOLECYSTECTOMY.FINEMAP.snp.bgz
finngen_R11_N14_PROSTHYPERPLA	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_PROSTHYPERPLA.FINEMAP.snp.bgz
finngen_R11_M13_HALLUXVALGUS	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_HALLUXVALGUS.FINEMAP.snp.bgz
finngen_R11_M13_ARTHTROSIS_COX_PRIM_HIPSURG	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX_PRIM_HIPSURG.FINEMAP.snp.bgz
finngen_R11_I9_MI_STRICT	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_MI_STRICT.FINEMAP.snp.bgz
finngen_R11_RX_CROHN_1STLINE	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_CROHN_1STLINE.FINEMAP.snp.bgz
finngen_R11_F5_DEPRESSION_DYSTHYMIA	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_DEPRESSION_DYSTHYMIA.FINEMAP.snp.bgz
finngen_R11_E4_HYPERCHOL	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERCHOL.FINEMAP.snp.bgz
finngen_R11_E4_GOITREMULTINOD	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_GOITREMULTINOD.FINEMAP.snp.bgz
finngen_R11_C3_BREAST_ERPLUS_EXALLC	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BREAST_ERPLUS_EXALLC.FINEMAP.snp.bgz
finngen_R11_G6_CARPTU	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_CARPTU.FINEMAP.snp.bgz
finngen_R11_ANTIDEPRESSANTS	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ANTIDEPRESSANTS.FINEMAP.snp.bgz
finngen_R11_PRIM_KNEEARTHROSIS	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PRIM_KNEEARTHROSIS.FINEMAP.snp.bgz
finngen_R11_PAIN	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PAIN.FINEMAP.snp.bgz
finngen_R11_J10_UPPERDIS	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_UPPERDIS.FINEMAP.snp.bgz
finngen_R11_M13_DORSOPATHY	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_DORSOPATHY.FINEMAP.snp.bgz
finngen_R11_I9_ANGIO	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_ANGIO.FINEMAP.snp.bgz
finngen_R11_E4_METABOLIA	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_METABOLIA.FINEMAP.snp.bgz
finngen_R11_K11_REIMB_202	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_REIMB_202.FINEMAP.snp.bgz
finngen_R11_G6_MYOTDIS	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_MYOTDIS.FINEMAP.snp.bgz
finngen_R11_RX_CROHN_2NDLINE	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_CROHN_2NDLINE.FINEMAP.snp.bgz
finngen_R11_M13_INTERVERTEB	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_INTERVERTEB.FINEMAP.snp.bgz
finngen_R11_K11_UC_STRICT2	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_UC_STRICT2.FINEMAP.snp.bgz
finngen_R11_MIGRAINE_TRIPTAN	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_MIGRAINE_TRIPTAN.FINEMAP.snp.bgz
finngen_R11_M13_ARTHTROSIS_COX_PRIM_ICD10	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHTROSIS_COX_PRIM_ICD10.FINEMAP.snp.bgz
